District,Frequency,Median,Maximum,Variation,Remoteness,HDI,Frequency (/1),Median (/1),Maximum (/1),Variation (/1),Remoteness (/1),HDI (/1),Total (/6),Robinson_Risk_Score
Dadeldhura,2.7555555555555555,398.5,1050.0,0.4275910364145658,5.069047619047619,0.442,0.40857142857142864,0.19901656314699795,0.010007539927342518,0.7891570827337737,0.5583199571963616,0.708955223880597,2.6740277954565017,0.8741504637703794
Dailekh,5.688888888888889,663.1,1955.0,0.38842382702422956,4.825151515151515,0.42199999999999993,0.630909090909091,0.21116600790513831,0.011908100125250032,0.672671194221407,0.530915900578822,0.7835820895522388,2.841152383291947,0.9287841651148517
Dang,4.977777777777778,700.0,4287.0,0.29637038710082186,3.6930555555555555,0.485,0.596,0.24637681159420288,0.029110974021523066,0.39889813489429615,0.4037141073657928,0.5485074626865671,2.2226074905623823,0.7265793466903514
Darchula,3.533333333333333,441.0,1120.0,0.41843041382257073,5.406481481481482,0.436,0.4066666666666667,0.17028985507246375,0.008255839635646339,0.7619127812232787,0.5962338743237621,0.7313432835820896,2.674702300503907,0.87437096218891
Dhading,5.6,923.25,2589.0,0.40056980770681483,5.312820512820513,0.461,0.47538461538461535,0.2500696767001115,0.013376780187390922,0.7087941494609514,0.5857101699798328,0.6380597014925372,2.6713950932054393,0.8732898227936304
Dhankuta,2.488888888888889,446.5,1065.0,0.479910452450775,4.877551020408164,0.517,0.33999999999999997,0.22386128364389232,0.010154421628820147,0.9107691771434672,0.5368034854391195,0.42910447761194026,2.450692845467239,0.8011413684868655
Dhanusha,6.233333333333333,324.285,2832.0,0.27334292257861276,1.4575330687830688,0.431,0.3233333333333333,0.05802838164251208,0.010510201750177075,0.33041292221742985,0.15253180548124368,0.75,1.624816644424696,0.5311591097441097
Dolakha,3.7666666666666666,469.0,1398.0,0.3940698497122646,5.0322751322751325,0.459,0.45333333333333337,0.18156199677938809,0.010373112162131286,0.6894628416125284,0.5541882171095653,0.6455223880597014,2.534441889056648,0.8285192683794541
Dolpa,3.6333333333333333,90.5,265.0,0.3968803254578287,7.3875,0.401,0.5175,0.033740942028985504,0.0019963671259167867,0.6978213836036579,0.8188202247191012,0.8619402985074626,2.931819215985124,0.9584235181470072
Doti,3.488888888888889,591.23,1556.0,0.44692727026060364,4.816473544973545,0.407,0.3977777777777778,0.23076892109500802,0.011576454101644313,0.8466643296144856,0.5299408477498365,0.8395522388059702,2.8562805691447224,0.9337296300429566
Gorkha,4.811111111111111,700.0,2067.0,0.4169479147699819,4.6000000000000005,0.4809999999999999,0.48727272727272725,0.22332015810276679,0.012606010755301317,0.7565714210618656,0.5056179775280899,0.5634328358208955,2.5488211305416466,0.833219900375178
Gulmi,6.155555555555556,823.5,2144.0,0.44408625843697536,5.135416666666667,0.464,0.6233333333333334,0.2413949275362319,0.011972490689332144,0.8382149712940757,0.5657771535580525,0.626865671641791,2.9075585480528168,0.9504926080194314
Humla,2.6555555555555554,137.0,355.0,0.43821132056426176,7.4261904761904765,0.376,0.38285714285714284,0.06366459627329192,0.003202021092212332,0.8207425149023562,0.823167469234885,0.9552238805970149,3.048857624956903,0.9966838457529744
Illam,3.2444444444444445,580.89,1422.0,0.44169629629629636,5.09022380952381,0.526,0.284,0.20322101449275362,0.009472890533963945,0.8152453763309012,0.5606993044408775,0.3955223880597014,2.2681609738581976,0.7414709639790921
Jajarkot,3.7,394.46,1253.0,0.3716902642515973,6.1107619047619055,0.39300000000000007,0.6514285714285715,0.1969254658385093,0.011995338954006443,0.6229044644010165,0.675366506153023,0.8917910447761193,3.050411391551246,0.9971917783149858
Jhapa,4.666666666666667,608.0,3006.0,0.3172359099393583,2.2977777777777777,0.518,0.26,0.1396135265700483,0.013462197546096375,0.46095358906003703,0.24694132334581773,0.4253731343283581,1.5463437708503573,0.5055060110945903
Jumla,4.433333333333334,160.0,796.0,0.35103157182684397,5.466666666666667,0.409,0.6975,0.06521739130434782,0.0065460278291863735,0.561464137656808,0.602996254681648,0.8320895522388061,2.7658133637107962,0.9041555359664304
Kailali,5.766666666666667,566.75,3721.0,0.28236881579213513,3.00448717948718,0.46,0.4984615384615384,0.15071070234113712,0.019345449943845995,0.35725652958595244,0.32634687409968305,0.6417910447761194,1.9939121392082764,0.6518179145960403
Kalikot,4.377777777777778,368.99,1010.0,0.4029122001993612,5.674518518518519,0.374,0.5755555555555555,0.1413003220611916,0.007418069930922079,0.7157605806922326,0.6263503953391594,0.962686567164179,3.0290714907432403,0.990215678732241
Kanchanpur,3.477777777777778,275.16,3084.0,0.2564608938628547,3.0524074074074075,0.4749999999999999,0.39555555555555555,0.10352657004830917,0.023213836909086752,0.2802046447971967,0.3317311693716188,0.5858208955223881,1.7200526722041551,0.562292151065713
Kapilwastu,5.433333333333334,782.5,4847.0,0.2661600434560573,1.8694444444444447,0.43200000000000005,0.678,0.276268115942029,0.032949482486805126,0.3090505614648603,0.19881398252184768,0.7462686567164178,2.24135079913196,0.7327066098050157
Kaski,2.7222222222222223,385.31,5406.0,0.3378247341890117,4.2843333333333335,0.576,0.68,0.27196376811594203,0.07383645212146138,0.522186123199617,0.4701498127340824,0.20895522388059717,2.2270913800517,0.7280451482363346
Kathmandu,4.9,1095.5,24880.0,0.2983468749194038,1.1606060606060604,0.632,0.5018181818181818,0.3535902503293808,0.15476168221387224,0.4047763412629682,0.11916922029281579,0.0,1.5341156759172188,0.5015085975766779
Kavrepalanchowk,5.5777777777777775,937.75,3203.0,0.38602284336670867,4.930992063492064,0.52,0.47230769230769226,0.2541109253065775,0.016614203535856836,0.6655305089644431,0.5428080970215802,0.417910447761194,2.369281874897344,0.7745277940877552
Khotang,3.333333333333333,624.0,1451.0,0.5163333333333334,4.8869796869796875,0.49399999999999994,0.3,0.21884057971014492,0.009671670436630338,0.9440334743424679,0.537862886177493,0.5149253731343284,2.5253339838010644,0.8255418574427866
Lalitpur,2.511111111111111,488.0,6229.0,0.35753442234326044,3.6999999999999997,0.601,0.4533333333333333,0.28743961352657005,0.0708867411520095,0.5808040480578481,0.40449438202247195,0.11567164179104483,1.9126297598832778,0.6252463771931626
Mahottari,4.6,250.0,1441.0,0.30764488995960615,1.332936507936508,0.388,0.252,0.05314009661835749,0.006310690703041104,0.4324292570621353,0.1385321919029784,0.9104477611940298,1.7928599974805421,0.586093159142134
Makwanpur,4.177777777777778,672.64,3344.0,0.386258601719128,5.3466000000000005,0.497,0.45200000000000007,0.236463768115942,0.022647199945164165,0.6662316700015263,0.5895056179775281,0.5037313432835822,2.4705795993237425,0.8076424284743822
Mananag,1.4111111111111112,17.0,39.0,0.4942848020434228,5.964285714285714,0.568,0.335,0.008152173913043478,0.00039413256563164027,0.8480163235162501,0.658908507223114,0.23880597014925398,2.0892771073672933,0.682993107047404
Morang,5.666666666666666,425.55,3142.0,0.32377576773161004,2.513392156862745,0.513,0.3,0.08345055413469736,0.01239451157802212,0.4804035615633866,0.27116765807446574,0.44402985074626866,1.5914461360968404,0.5202501560748123
Mugu,1.8,142.5,401.0,0.4006854345165239,7.3480952380952385,0.397,0.51,0.12182971014492754,0.006597436424703544,0.7091380312915558,0.8143927233814875,0.876865671641791,3.0388235728844655,0.9934036736891235
Mustang,1.8888888888888888,32.0,84.0,0.451112371163305,5.01,0.508,0.38,0.01594202898550725,0.0008773733634930426,0.8542882876750078,0.5516853932584269,0.46268656716417916,2.265479650446614,0.7405944285490054
Myagdi,3.2333333333333334,310.955,867.0,0.40736509404872034,6.31104761904762,0.49,0.6699999999999999,0.18052838164251206,0.009630543560216602,0.7290037834776175,0.6978705189941145,0.5298507462686568,2.8168839739431175,0.9208507242870135
Nawalparasi,7.322222222222222,1037.18,4941.0,0.30744838336408964,3.159885714285714,0.493,0.5786666666666667,0.243280193236715,0.022304475975049694,0.431844833363496,0.3438073836276084,0.5186567164179104,2.138560269287446,0.6991039713105848
Nuwakot,4.844444444444445,707.585,2131.0,0.3928365865865866,3.590763888888889,0.466,0.4266666666666667,0.20639643719806763,0.011898233829140676,0.6857950349650732,0.39222066167290887,0.6194029850746268,2.342380019406484,0.7657334691022124
Okhaldhunga,2.8666666666666667,462.47,1069.0,0.5022828284539622,4.804345238095238,0.468,0.34500000000000003,0.202205615942029,0.008885118925217629,0.9602286434591988,0.5285781166399144,0.6119402985074626,2.656837793473822,0.8685309828394387
Palpa,5.011111111111111,712.0,2066.0,0.4009955763397371,5.1999603174603175,0.5,0.602,0.25072463768115943,0.013887175269038316,0.7100604137232935,0.5730292491528447,0.4925373134328358,2.6422387892591717,0.8637585095216572
Panchthar,2.6666666666666665,570.0,1254.0,0.5095833333333334,5.4660416666666665,0.498,0.3,0.2509057971014493,0.010470217286997052,0.9090881920176563,0.6029260299625468,0.5,2.5733902363686494,0.8412516400936619
Parbat,3.4444444444444446,416.0,1164.0,0.4273478975804557,3.400225726654298,0.51,0.5857142857142856,0.2080745341614907,0.011123840858572506,0.7884339716527435,0.37081187939935933,0.4552238805970149,2.4193823923834663,0.7909058551797317
Parsa,4.855555555555555,150.75,2480.0,0.2683134970669568,3.374031212484994,0.464,0.3242857142857143,0.0317675983436853,0.011868041479392497,0.3154550758824149,0.36786867556011166,0.626865671641791,1.6781107771931096,0.5485811765434548
Pyuthan,4.977777777777778,552.13,1679.0,0.38321547815343643,4.896664021164021,0.413,0.6955555555555556,0.21502818035426732,0.01251323295329053,0.6571812179034513,0.5389510136139349,0.8171641791044777,2.9363933794849775,0.9599188306308761
Ramechhap,3.3777777777777778,539.405,1493.0,0.40931561767191915,4.619287878787879,0.468,0.45999999999999996,0.237049365942029,0.01251799300843101,0.7348047706005022,0.5077851549199863,0.6119402985074626,2.564097582978411,0.8382138342471646
Rasuwa,1.9555555555555557,98.5,320.0,0.36824675324675327,4.019333333333334,0.461,0.404,0.06413043478260869,0.004112687641373638,0.6126632334007722,0.44037453183520603,0.6380597014925372,2.163340589152498,0.7072047577493867
Rautahat,7.0777777777777775,280.0,1772.0,0.2809348450792437,3.3007372134038797,0.386,0.4077777777777778,0.04911433172302738,0.006473674991051097,0.35299180521084594,0.3596333947644809,0.9179104477611939,2.093901432228377,0.68450481748243
